ts,open,high,low,close,volume
2024-12-16 10:30:00,11.58,11.65,11.46,11.48,210531
2024-12-16 11:30:00,11.47,11.51,11.43,11.47,86215
2024-12-16 14:00:00,11.48,11.48,11.4,11.43,74366
2024-12-16 15:00:00,11.43,11.46,11.4,11.44,93221
2024-12-17 10:30:00,11.4,11.49,11.36,11.41,147361
2024-12-17 11:30:00,11.41,11.46,11.38,11.43,70285
2024-12-17 14:00:00,11.44,11.53,11.42,11.48,109616
2024-12-17 15:00:00,11.48,11.48,11.41,11.43,71375
2024-12-18 10:30:00,11.45,11.5,11.44,11.46,134338
2024-12-18 11:30:00,11.46,11.47,11.43,11.44,39458
2024-12-18 14:00:00,11.45,11.48,11.43,11.43,57415
2024-12-18 15:00:00,11.43,11.44,11.4,11.43,77826
2024-12-19 10:30:00,11.36,11.41,11.32,11.33,134070
2024-12-19 11:30:00,11.32,11.37,11.31,11.34,52514
2024-12-19 14:00:00,11.34,11.4,11.31,11.39,73734
2024-12-19 15:00:00,11.4,11.45,11.37,11.42,73649
2024-12-20 10:30:00,11.37,11.46,11.36,11.4,126039
2024-12-20 11:30:00,11.4,11.48,11.39,11.48,80625
2024-12-20 14:00:00,11.47,11.48,11.41,11.43,79189
2024-12-20 15:00:00,11.42,11.42,11.38,11.39,76785
2024-12-23 10:30:00,11.41,11.45,11.32,11.34,139177
2024-12-23 11:30:00,11.34,11.44,11.34,11.39,62237
2024-12-23 14:00:00,11.39,11.41,11.35,11.35,42649
2024-12-23 15:00:00,11.35,11.36,11.3,11.31,115613
2024-12-24 10:30:00,11.35,11.42,11.28,11.41,165690
2024-12-24 11:30:00,11.41,11.41,11.35,11.38,101659
2024-12-24 14:00:00,11.38,11.53,11.36,11.5,146763
2024-12-24 15:00:00,11.5,11.53,11.45,11.5,198970
2024-12-25 10:30:00,11.5,11.51,11.38,11.41,163317
2024-12-25 11:30:00,11.4,11.43,11.33,11.35,91835
2024-12-25 14:00:00,11.35,11.41,11.32,11.4,84144
2024-12-25 15:00:00,11.4,11.43,11.37,11.42,89432
2024-12-26 10:30:00,11.41,11.42,11.37,11.41,97774
2024-12-26 11:30:00,11.41,11.41,11.35,11.36,141625
2024-12-26 14:00:00,11.37,11.38,11.34,11.34,66965
2024-12-26 15:00:00,11.34,11.35,11.3,11.33,153222
2024-12-27 10:30:00,11.33,11.47,11.32,11.44,203170
2024-12-27 11:30:00,11.43,11.56,11.41,11.49,222557
2024-12-27 14:00:00,11.49,11.49,11.4,11.42,106552
2024-12-27 15:00:00,11.42,11.42,11.34,11.34,352213
2024-12-30 10:30:00,11.36,11.44,11.34,11.38,197758
2024-12-30 11:30:00,11.39,11.42,11.37,11.38,66156
2024-12-30 14:00:00,11.37,11.42,11.37,11.41,105166
2024-12-30 15:00:00,11.41,11.44,11.37,11.41,177507
2024-12-31 10:30:00,11.42,11.51,11.36,11.38,219146
2024-12-31 11:30:00,11.38,11.4,11.21,11.24,199157
2024-12-31 14:00:00,11.25,11.3,11.22,11.27,131406
2024-12-31 15:00:00,11.26,11.28,11.11,11.12,249056
2025-01-02 10:30:00,11.13,11.13,10.77,10.84,322727
2025-01-02 11:30:00,10.83,10.85,10.78,10.79,106019
2025-01-02 14:00:00,10.81,10.83,10.68,10.75,159699
2025-01-02 15:00:00,10.75,10.75,10.59,10.68,248950
2025-01-03 10:30:00,10.73,10.75,10.52,10.63,214868
2025-01-03 11:30:00,10.64,10.65,10.54,10.55,55577
2025-01-03 14:00:00,10.53,10.57,10.47,10.49,104306
2025-01-03 15:00:00,10.49,10.53,10.38,10.4,180250
2025-01-06 10:30:00,10.33,10.43,10.27,10.41,193590
2025-01-06 11:30:00,10.4,10.51,10.38,10.5,127520
2025-01-06 14:00:00,10.5,10.53,10.43,10.48,124113
2025-01-06 15:00:00,10.47,10.6,10.47,10.56,169142
2025-01-07 10:30:00,10.52,10.64,10.51,10.62,118263
2025-01-07 11:30:00,10.63,10.65,10.58,10.59,69807
2025-01-07 14:00:00,10.6,10.63,10.55,10.58,72760
2025-01-07 15:00:00,10.59,10.79,10.58,10.72,191234
2025-01-08 10:30:00,10.67,10.71,10.49,10.51,143122
2025-01-08 11:30:00,10.5,10.52,10.44,10.46,68290
2025-01-08 14:00:00,10.46,10.61,10.45,10.56,90839
2025-01-08 15:00:00,10.57,10.7,10.57,10.66,107527
2025-01-09 10:30:00,10.6,10.67,10.58,10.62,91781
2025-01-09 11:30:00,10.62,10.7,10.61,10.65,55023
2025-01-09 14:00:00,10.65,10.65,10.57,10.57,41704
2025-01-09 15:00:00,10.58,10.62,10.55,10.57,59532
2025-01-10 10:30:00,10.51,10.67,10.5,10.57,169986
2025-01-10 11:30:00,10.58,10.61,10.52,10.54,43491
2025-01-10 14:00:00,10.53,10.56,10.49,10.52,52101
2025-01-10 15:00:00,10.52,10.53,10.42,10.42,94506
2025-01-13 10:30:00,10.35,10.43,10.28,10.37,120981
2025-01-13 11:30:00,10.36,10.42,10.34,10.35,31081
2025-01-13 14:00:00,10.34,10.38,10.32,10.38,34205
2025-01-13 15:00:00,10.38,10.38,10.32,10.37,60105
2025-01-14 10:30:00,10.37,10.51,10.37,10.5,150611
2025-01-14 11:30:00,10.51,10.65,10.47,10.57,154350
2025-01-14 14:00:00,10.56,10.65,10.55,10.63,85069
2025-01-14 15:00:00,10.63,10.68,10.58,10.65,124965
2025-01-15 10:30:00,10.59,10.6,10.53,10.58,143219
2025-01-15 11:30:00,10.59,10.63,10.58,10.6,70502
2025-01-15 14:00:00,10.59,10.62,10.58,10.6,53302
2025-01-15 15:00:00,10.6,10.6,10.57,10.58,65294
2025-01-16 10:30:00,10.62,10.7,10.6,10.62,149452
2025-01-16 11:30:00,10.63,10.63,10.54,10.55,59021
2025-01-16 14:00:00,10.57,10.57,10.49,10.52,62486
2025-01-16 15:00:00,10.53,10.56,10.51,10.54,55844
2025-01-17 10:30:00,10.49,10.59,10.45,10.54,101501
2025-01-17 11:30:00,10.55,10.57,10.49,10.57,32378
2025-01-17 14:00:00,10.56,10.6,10.52,10.57,50673
2025-01-17 15:00:00,10.57,10.61,10.55,10.56,62835
2025-01-20 10:30:00,10.72,10.87,10.62,10.79,282638
2025-01-20 11:30:00,10.78,10.82,10.74,10.78,70545
2025-01-20 14:00:00,10.78,10.78,10.71,10.75,51311
2025-01-20 15:00:00,10.74,10.76,10.68,10.72,91774
2025-01-21 10:30:00,10.76,10.8,10.69,10.73,123416
2025-01-21 11:30:00,10.73,10.77,10.66,10.73,56049
2025-01-21 14:00:00,10.72,10.75,10.69,10.71,42158
2025-01-21 15:00:00,10.7,10.76,10.69,10.72,71511
2025-01-22 10:30:00,10.78,10.81,10.55,10.69,453371
2025-01-22 11:30:00,10.7,10.71,10.59,10.6,142178
2025-01-22 14:00:00,10.6,10.63,10.53,10.6,113203
2025-01-22 15:00:00,10.59,10.62,10.57,10.57,119140
2025-01-23 10:30:00,10.64,10.79,10.55,10.63,408436
2025-01-23 11:30:00,10.62,10.63,10.43,10.46,149076
2025-01-23 14:00:00,10.46,10.47,10.25,10.35,269043
2025-01-23 15:00:00,10.33,10.38,10.28,10.3,159394
2025-01-24 10:30:00,10.24,10.62,10.14,10.6,435803
2025-01-24 11:30:00,10.6,10.77,10.6,10.77,225837
2025-01-24 14:00:00,10.77,10.95,10.75,10.8,279975
2025-01-24 15:00:00,10.8,10.85,10.79,10.84,164328
2025-01-27 10:30:00,10.82,10.82,10.59,10.61,252662
2025-01-27 11:30:00,10.61,10.66,10.59,10.64,72593
2025-01-27 14:00:00,10.63,10.64,10.59,10.63,92884
2025-01-27 15:00:00,10.62,10.64,10.55,10.58,157550
2025-02-05 10:30:00,10.57,10.62,10.38,10.59,238567
2025-02-05 11:30:00,10.59,10.64,10.53,10.59,131166
2025-02-05 14:00:00,10.58,10.71,10.52,10.63,211617
2025-02-05 15:00:00,10.63,10.68,10.41,10.41,341602
