ts,open,high,low,close,volume
2026-03-16 10:30:00,55.21,56.05,54.52,55.9,154881
2026-03-16 11:30:00,55.91,55.91,55.35,55.8,49494
2026-03-16 14:00:00,55.8,55.85,55.47,55.54,48049
2026-03-16 15:00:00,55.53,55.7,55.42,55.59,55327
2026-03-17 10:30:00,55.69,57.3,55.38,57.28,233477
2026-03-17 11:30:00,57.28,57.44,56.88,57.02,126027
2026-03-17 14:00:00,57.04,57.15,56.65,56.65,60321
2026-03-17 15:00:00,56.63,56.75,56.3,56.3,84286
2026-03-18 10:30:00,56.26,56.83,56.02,56.73,140016
2026-03-18 11:30:00,56.75,56.83,56.29,56.33,49275
2026-03-18 14:00:00,56.33,56.54,56.09,56.53,55394
2026-03-18 15:00:00,56.51,57.08,56.38,56.88,149108
2026-03-19 10:30:00,56.17,57.03,56.08,56.68,119556
2026-03-19 11:30:00,56.68,56.75,56.24,56.35,47755
2026-03-19 14:00:00,56.35,56.52,56.15,56.29,77710
2026-03-19 15:00:00,56.29,56.45,55.91,56.02,98625
2026-03-20 10:30:00,56.19,56.76,55.61,55.72,115650
2026-03-20 11:30:00,55.72,56.18,55.69,56.0,45413
2026-03-20 14:00:00,56.0,56.0,55.45,55.47,68256
2026-03-20 15:00:00,55.5,55.64,55.05,55.14,118076
2026-03-23 10:30:00,54.18,54.35,53.56,53.69,175428
2026-03-23 11:30:00,53.65,53.65,53.25,53.29,79099
2026-03-23 14:00:00,53.26,53.5,52.91,53.04,95660
2026-03-23 15:00:00,53.0,53.04,52.41,52.78,137514
2026-03-24 10:30:00,53.27,53.58,52.83,53.4,130260
2026-03-24 11:30:00,53.4,53.48,52.81,52.9,52300
2026-03-24 14:00:00,52.91,53.4,52.84,52.89,61555
2026-03-24 15:00:00,52.87,53.74,52.85,53.64,104241
2026-03-25 10:30:00,54.0,54.86,53.96,54.45,180239
2026-03-25 11:30:00,54.45,54.49,53.92,53.98,72526
2026-03-25 14:00:00,53.98,54.4,53.93,54.09,66459
2026-03-25 15:00:00,54.1,54.17,53.84,54.1,92301
2026-03-26 10:30:00,53.28,54.1,52.8,53.19,243571
2026-03-26 11:30:00,53.15,53.3,52.61,52.63,89527
2026-03-26 14:00:00,52.65,52.65,51.65,51.66,181892
2026-03-26 15:00:00,51.64,51.86,51.54,51.63,134427
2026-03-27 10:30:00,51.3,55.48,51.11,54.46,485799
2026-03-27 11:30:00,54.47,55.0,54.28,54.47,114013
2026-03-27 14:00:00,54.48,55.45,54.48,55.16,204379
2026-03-27 15:00:00,55.16,55.28,54.88,55.18,187005
2026-03-30 10:30:00,54.73,55.74,54.61,55.17,339596
2026-03-30 11:30:00,55.17,56.1,54.93,55.85,150624
2026-03-30 14:00:00,55.87,55.87,55.43,55.54,89634
2026-03-30 15:00:00,55.54,55.8,55.47,55.76,117416
2026-03-31 10:30:00,55.86,57.38,55.81,56.15,343424
2026-03-31 11:30:00,56.14,56.24,55.77,55.9,101739
2026-03-31 14:00:00,55.89,55.96,55.38,55.7,114428
2026-03-31 15:00:00,55.7,55.7,55.2,55.22,133333
2026-04-01 10:30:00,56.03,57.78,55.6,57.64,479273
2026-04-01 11:30:00,57.6,57.74,57.12,57.5,151752
2026-04-01 14:00:00,57.55,57.71,57.27,57.53,168242
2026-04-01 15:00:00,57.54,57.75,57.45,57.73,206250
2026-04-02 10:30:00,57.74,58.35,57.01,58.03,388951
2026-04-02 11:30:00,58.02,58.1,57.46,57.69,137359
2026-04-02 14:00:00,57.66,57.75,57.3,57.39,111135
2026-04-02 15:00:00,57.39,57.55,57.25,57.37,127724
2026-04-03 10:30:00,56.98,56.99,56.21,56.55,216277
2026-04-03 11:30:00,56.55,56.86,56.18,56.19,80395
2026-04-03 14:00:00,56.19,56.58,56.1,56.53,63017
2026-04-03 15:00:00,56.53,56.54,56.16,56.38,95227
2026-04-07 10:30:00,56.51,56.85,55.0,56.2,222104
2026-04-07 11:30:00,56.21,56.25,55.91,55.93,49860
2026-04-07 14:00:00,55.93,56.09,55.61,55.73,58359
2026-04-07 15:00:00,55.73,56.16,55.71,56.12,71144
2026-04-08 10:30:00,57.01,57.4,55.91,56.64,313963
2026-04-08 11:30:00,56.64,57.28,56.59,57.24,124389
2026-04-08 14:00:00,57.24,57.64,57.12,57.42,153623
2026-04-08 15:00:00,57.41,57.53,57.3,57.45,142488
2026-04-09 10:30:00,56.92,57.97,56.71,57.11,259406
2026-04-09 11:30:00,57.12,57.23,57.0,57.07,59979
2026-04-09 14:00:00,57.05,57.09,56.84,56.85,61337
2026-04-09 15:00:00,56.85,57.08,56.84,56.96,100032
2026-04-10 10:30:00,57.5,57.75,56.8,57.07,241210
2026-04-10 11:30:00,57.07,58.14,57.04,57.38,154758
2026-04-10 14:00:00,57.38,57.41,57.02,57.3,86319
2026-04-10 15:00:00,57.32,57.34,57.02,57.06,105508
2026-04-13 10:30:00,56.6,56.64,55.85,55.92,273454
2026-04-13 11:30:00,55.91,55.99,55.49,55.53,159271
2026-04-13 14:00:00,55.52,55.76,55.32,55.38,150731
2026-04-13 15:00:00,55.38,55.38,55.01,55.2,212587
2026-04-14 10:30:00,55.35,55.58,54.8,55.17,198776
2026-04-14 11:30:00,55.18,55.32,55.03,55.1,76608
2026-04-14 14:00:00,55.1,55.35,55.04,55.18,83025
2026-04-14 15:00:00,55.19,56.31,55.16,56.18,216048
2026-04-15 10:30:00,57.94,58.45,57.12,57.6,566831
2026-04-15 11:30:00,57.6,57.9,57.04,57.66,129320
2026-04-15 14:00:00,57.65,58.34,57.36,57.85,198504
2026-04-15 15:00:00,57.85,57.87,57.55,57.73,134826
2026-04-16 10:30:00,57.98,57.98,57.02,57.76,262665
2026-04-16 11:30:00,57.75,58.0,57.51,57.55,92786
2026-04-16 14:00:00,57.55,57.6,57.16,57.28,115630
2026-04-16 15:00:00,57.29,57.52,57.26,57.47,105638
2026-04-17 10:30:00,57.2,57.2,56.2,56.31,283554
2026-04-17 11:30:00,56.3,56.45,56.01,56.25,122644
2026-04-17 14:00:00,56.25,56.58,56.16,56.46,107800
2026-04-17 15:00:00,56.46,56.52,56.25,56.33,118526
2026-04-20 10:30:00,56.33,56.48,55.83,56.03,180870
